Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total staff in WA,Number of engineers in WA,Offices in WA,Offices interstate,Current projects (top 5 only),Services offered,WA Revenue previous financial year,WA Revenue most recent financial year,Location of Head Office,Is the organisation headquartered in WA?,Ultimate holding company
Thales Australia,48,32,,,139,58,4,22,,"Leading international electronics and systems…Leading international electronics and systems group serving the defence, aerospace and space, security, and ground transport markets in Australasia and throughout the world.",,,"Sydney, NSW",,Thales Australia
OneSubsea,,,,,,,,,,,,,,,
McCoy Engineering,,117,Brad McCoy(Managing Director),1976,,,1,,,"Corrosion and cathodic protection, suppliers of…Corrosion and cathodic protection, suppliers of specialist materials, quality installation and maintenance contractors.",,,Osborne Park,Yes,
CSE Transtel,104,,Noel Northcott(General Manager),2003,40,NFP,2,1,,"Wide & Local Area Networks, Fibre Optics,…Wide & Local Area Networks, Fibre Optics, Satellite, Structured Cabling, SDH/ PDH, OTN, WAN (TCP-IP & UDP), LAN (Ethernet), WLAN, Industrial Ethernet, Safety and Security Systems, Access Control, People On Board (POB), E-Mustering, Man Over Board (MOB), Telemedicine, CCTV (Video & Thermal), Video Analytics, Intrusion Detection (MW & FIDS), Radar EWS, In-Plant Communications, Public Address / General Alarm, Page / Party, Intercom, PABX Telephony, Hot Line, Sound Powered Telephone, Entertainment, Nav Aids & GMDSS, Radar & RACON, ECDIS, AIS, Gyrocompass, DGPS Positioning, Navtex, Weatherfax, Navigation Lights, Berthing Aids, MF-Non-Directional Beacon, GMDSS, Radio Systems, Private Mobile Radio V/UHF, Trunked Radio-Analog MPT1327, Trunked Radio-Digital TETRA, VHF Marine & Aeronautical, MF / HF-SSB, UHF PMP & SCADA, Microwave PTP, SATCOMS (VSAT), Inmarsat C & BB, Remote Data Collection, Meteorological, Oceanographic, Environmental Monitoring, Oil Spill Detection, TNMS",,,West Perth,Yes,CSE Global (Australia) Pty Ltd
Aker Solutions,,123,,2011,,,2,,,"Aker Engineering & Technology (AET) is a leading…Aker Engineering & Technology (AET) is a leading international provider of front end studies, engineering, procurement and project management services needed for initiating and undertaking contracts for the oil and gas industry both onshore and offshore. A major contributor of new technology and products, new knowledge and new methods for efficient cost-saving and environmentally friendly exploitation of the world's oil and gas reserves.",,,"Oslo, Norway",,Aker Solutions
ALS,66,50,"Frank McGinty(General Manager, Mining)",1955,,NFP,4,13,,"Reliability and integrity engineering, condition…Reliability and integrity engineering, condition monitoring, inspection, non destructive testing, advanced NDT, metallurgy and mechanical testing.",,,Queensland,,ALS Limited (ASX: ALQ)
Wilshaw,,,Graham Wilshaw(Principal),1988,,,2,,,"Underground infrastructure, open pit…Underground infrastructure, open pit infrastructure, mineral processing services, engineering services",,,"Belmont, WA",Yes,
Baker Hughes a GE company,,,,,,,1,3,,,$424.41m,$257.21m,Jandakot,Yes,
Doina Engineering & Construction,,,Gerry Doyle(Director),2000,,,,,,Service and repairs of heavy duty earthmoving…Service and repairs of heavy duty earthmoving equipment and fixed plant parts,,,Kwinana,Yes,
ABB,,,,,,,,,,,,,,Yes,
