Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total staff in WA,Offices in WA,Offices interstate,Services offered,Current clients + relevant WA projects for each client,WA Revenue most recent financial year,Is the organisation headquartered in WA?,Ultimate holding company
GCo Electrical,104,,"Murray Hadley(Founder, Chief Executive)",2000,80,1,,"Electrical contractor for industrial, commercial…Electrical contractor for industrial, commercial and infrastructure projects in the Mid West.","Useless loop port upgrade for Marine & Civil, NUP…Useless loop port upgrade for Marine & Civil, NUP project for Iluka Resources, MUOS Phase 2 for Badge Construction",,,
GMF Contractors,107,58,Albert Biagioni(Managing Director),1968,70,1,,"Bulk earthworks, roadworks, sand pads, sand…Bulk earthworks, roadworks, sand pads, sand supplies, recycling, kerbing and drainage.",,,Yes,
MTS Electrical Contracting,148,78,,2009,17,1,1,,"Fleetwood Corporation, OTOC, Atlas Iron, RHG.PLS,…Fleetwood Corporation, OTOC, Atlas Iron, RHG.PLS, Altura mining, BGC, MACA, NRW",$5.00m,Yes,
Dowsing Group,103,,Bohdan Dowsing(Executive Director),1985,80,1,,"Civil contracting with specialist services in…Civil contracting with specialist services in road profiling, hardscapes and footpaths and slipform concrete.",,,Yes,
CPS National,,,,1998,,,,,,,Yes,
Saferight,,,Mack McCormack(Managing Director),1990,,,,,,,Yes,
Karridale Group,57,51,Bill Wang(Chairman),2010,NFP,1,,"Supply and installation/construction/maintenance…Supply and installation/construction/maintenance of detailed earthworks, concrete, structural, mechanical and piping, electrical and instrumentation.",CP Mining Sino Iron Project,NFP,Yes,
Evolve Talent,141,,,,20,1,3,,,,Yes,
WestCoast Profilers,,,Chad Komarnyckyj(Managing Director),2009,,1,,,,,Yes,
Young's Earthmoving,,,Rodney Young(Managing Director),1978,,,,"Road construction and maintenance,
Airstrip…Road construction and maintenance,
Airstrip construction,
Flood repair and mitigation,
Centreline works,
Clearing,
Rehabilitation,
Borrow pit management,
Train ballast loading,
Dust suppression,
Traffic management,
Material carting,
Heavy haulage,
Mobile camp supply,
Crib room and office supply,",,,Yes,
