Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Offices interstate,Number of external WA consultants,Industries Serviced,Number of full-time WA inhouse consultants,Total staff in WA,Percentage of Business-Other,Core business,Notable clients,Percentage of Business - Consulting,Offices in WA,Fee Per Hour,Ultimate holding company,Is the organisation headquartered in WA?,Types of consulting practiced
Bain & Company,,,Stuart Love(Partner),2011,,,,,,,,,,1,,,,
Logikal,92,,"Bruce Bairstow(Co-Founder, Director)",2007,,,"Mining, infrastructure, utilities, oil and gas,…Mining, infrastructure, utilities, oil and gas, defence, construction.",8,15,,,"Rio Tinto, FMG, Iluka, Georgiou, Water…Rio Tinto, FMG, Iluka, Georgiou, Water Corporation, Western Power, BAE Systems, Woodside, QGC, Chevron, Arrow Energy, MWH, Subsea 7, Technip,Sandvik, Balfour Beatty, Leighton, Laing O' Rourke.",,,,,,
Aurenda,101,31,Deb Macksy(Managing Director),2002,,1,"Mining, mining services, transport and logistics,…Mining, mining services, transport and logistics, aged care, community care, disability services, manufacturing, contract cleaning, hospitality, and other high risk industries.",7,15,5%,"Aurenda assists employers to reduce the financial…Aurenda assists employers to reduce the financial and human cost of workplace injury, through the development of preventative safety systems; education and training; and proactive management of workplace injuries when they occur.","Byrnecut Mining, Craigcare Group, Nulsen…Byrnecut Mining, Craigcare Group, Nulsen Association, Swan Transit, Mount Gibson Iron, Toll, Volgren",95%,1,WND,Aurenda Pty Ltd,Yes,
JMJ Associates,85,18,"Mike Goddu(Co-Founder, Partner)",2005,1,6,"Mining and metals, oil and gas, marine,…Mining and metals, oil and gas, marine, construction, manufacturing.",9,14,,"Safety leadership consulting to the energy,…Safety leadership consulting to the energy, manufacturing, mining and construction industries. JMJ specialises in transformational change for organisations, projects and operating facilities, with specific practices around eliminating workplace injury, enabling high performance teams and leadership development.","Chevron, INPEX, JKC, Lend Lease, Origin Energy,…Chevron, INPEX, JKC, Lend Lease, Origin Energy, Boeing Aerostructures Australia, Shell Development Australia",100%,1,,"JMJ Associates, LLC",,
The Emotional Intelligence Institute,212,110,Rachel Green(Director),2012,,2,"Mining and resources, energy sector, professional…Mining and resources, energy sector, professional services, health, local government, state government.",1,3,40%,"We help your team and organisation develop…We help your team and organisation develop emotionally intelligent communication with your clients, stakeholders and customers. We teach people how to stay calm in difficult situations, reduce anger, anxiety and frustration, and build emotional resilience under pressure and during change. We provide executive coaching, leadership development, and master-classes on emotional intelligence. We conduct emotional intelligence testing, personality testing and testing of your decision-making capability.","Bankwest, Landcorp, Horizon Power, Synergy, Baker…Bankwest, Landcorp, Horizon Power, Synergy, Baker Hughes, Dept Housing, Fremantle Hospital, Alcoa, RealMark RealEstate, BHPB, and more.",60%,1,Varies,RachelGreen.Com Pty Ltd,Yes,"Provision of emotional intelligence assessments.…Provision of emotional intelligence assessments.
Provision of face-to-face coaching in the workplace for leadership teams."
Barbaro Group,,,Tony Barbaro(Managing Director),,,,,,,,"Land Transport Risk Management, In Vehicle…Land Transport Risk Management, In Vehicle Monitoring Systems, Driver Safety & Training, Functional Safety Leadership",,,1,,,Yes,Vehicle and driver safety and training
Corporate Governance Risk,,,Grant O'Connell(Chief Executive),,,,,,,,,,,,,,Yes,
Ledger Financial Group,90,36,"Steve Ledger(Founder, Managing Director)",2003,2,,All industries.,8,20,50%,"Recruitment, human resource consulting, finance…Recruitment, human resource consulting, finance advisory, accounting advisory, insolvency advice, organisation, design and development.",,50%,1,$85-$450,Ledger Capital,,
Growth Coaching International WA,125,61,Grant O'Sullivan(Director),2007,6,10,All industries,5,7,50%,"Executive coaching, facilitation and leadership…Executive coaching, facilitation and leadership training","Department Of Education WA, Vic, NT, Veolia,…Department Of Education WA, Vic, NT, Veolia, Institute of Chartered Accountants WA (ICAA), TR7- Total Human Resources, St John of God Health Care, WA Primary Principals Association, , GESB, Presbyterian Ladies College (PLC). Hale School.",50%,1,Varies,Growth Coaching International Pty Ltd,Yes,
Benchmark Projects Australasia,,133,"Chris Carman(Founder, Managing Director)",1985,1,2,"Land development, property development, marina…Land development, property development, marina and port development, major infrastructure, roads and bridges.",,2,,Project management.,"LandCorp, Hemsley Investments, MRA, Port Hedland…LandCorp, Hemsley Investments, MRA, Port Hedland Enterprises",100%,1,$200,Davina Holdings Pty Ltd,Yes,Project Management
Realising Potential,115,63,"Jackie O'Dowd(Founding Partner, Chief Executive)",2002,,NFP,"Civil and mining, manufacturing, petroleum,…Civil and mining, manufacturing, petroleum, professional services, retail, construction,, facilities management, Services, manufacturing, Financial services,  Software Developments and distribution",NFP,NFP,20%,"Strategic performance architecture, enterprise…Strategic performance architecture, enterprise architecture, business consulting, I.T. consulting., Intelligent BPM, Transformation and Optimisation",Available upon request,80%,1,Project based fees.,,Yes,"Management, Transformation and Change, Business…Management, Transformation and Change, Business Optimisation, Change around Mergers, Aquisitions, Restructure or Divestment"
Susan Harwood & Associates,245,86,"Susan Harwood(Company Director, Gender Equality Specialist)",1994,,,"Mining, tertiary, Local Government, State…Mining, tertiary, Local Government, State Government, Private Sector",1,1,3%,"Leadership, coaching, teambuilding, gender equity…Leadership, coaching, teambuilding, gender equity initiatives, gender analysis of policy, investigation of workplace grievances, including bullying and harassment, mediation. Gender specialist working on international projects in developing countries.",UNWomen (Serbia); Pacific Islands Secretariat;…UNWomen (Serbia); Pacific Islands Secretariat; Sime Darby (Malaysia); sity of WA;  Ogden; DFAT.,97%,1,$275-350,,Yes,"Management consulting: workplace bullying,…Management consulting: workplace bullying, discrimination and Harassment. Leadership development. Gender equality; disability and social inclusion."
Silver Lining Cloud Solutions,47,,Stuart Goodreid(Director),2014,,,,25,25,,,,,,,,Yes,"Salesforce, CRM, Integration"
Akamai Management Group,74,37,Tri Suseno(Managing Director),2007,2,3,"Resources, oil and gas / energy, manufacturing,…Resources, oil and gas / energy, manufacturing, investment fund, shipping, retail, hospitality, engineering, pharmaceutical, technology.",10,78,60%,"Strategy consulting, corporate advisory,…Strategy consulting, corporate advisory, investments & management",WND,40%,4,Varied depending on seniority,Akamai Management Group,Yes,
