Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total staff in WA,No. of mining contracting staff: in WA,No. of mining contracting staff: Interstate,Notable clients,Offices in WA,Offices interstate,Services offered,% of work Mining,Mining Areas covered,Mining services revenue most recent year,Mining services revenue previous year,WA Revenue most recent financial year,WA Revenue previous financial year,Is the organisation headquartered in WA?,Ultimate holding company
Westernex Supply,120,,John Wilder(Managing Director),1988,22,,,NFP,2,,Mining and exploration supply,,All of Australia and worldwide,,,NFP,NFP,,N/A
Titan Plant Hire,101,,,2001,45,,,Listed Mining Companies,2,1,Hire of heavy earthmoving plant & equipment,,Statewide,,,NFP,NFP,,
Rapid Alliance,103,,Emidio Giardini(Chairman),2011,40,,,"Hamersley Iron, Alcoa World Alumina, Hatch, MPDJV…Hamersley Iron, Alcoa World Alumina, Hatch, MPDJV, Proteus EPCM Engineers, GR Engineering,  Laing O\'Rourke, Roche Mining",1,,"Shop drawings, NC files, DXF files, 2D & 3D…Shop drawings, NC files, DXF files, 2D & 3D erection drawings, clash checking, navisworks models.",,All,,,NFP,NFP,Yes,
Shelf Subsea,,,,2015,,,,,,,,,,,,,,,
Nagrom,,,Rick Murphy(CEO),1978,,,,,,,,,,,,,,Yes,
Stella Industrial,,,,2010,,,,,,,,,,,,,,Yes,
Klen International,,,James Morrison(Managing Director),1971,,,,,,,Leading supplier of high quality fire assay fluxes,,,,,,,Yes,VWR
Ultramax Systems,,,,1987,,,,,1,1,,,,,,,,Yes,
Orbit Drilling,,,Martin Smith(Managing Director),1995,,,,,,,"Exploration drilling, field support trucks,…Exploration drilling, field support trucks, portable on-site accommodation and communication facilities",,,,,,,Yes,
Bunzl Safety,,,Mimmo Audino(Regional General Manager WA),,,,,,,,,,,,,,,,
Kwik-Zip,,,,,,,,,,,,,,,,,,Yes,
Molycop,,,"Rod Price(State Account Manager, WA)",1965,,,,,2,3,,,,,,,,,
Access Group Australia,,,John Jones(Executive Chair),2002,,,,,,,,,,,,,,Yes,
Tracerco,,,,,,,,,,,,,,,,,,Yes,
Stealth Group Holdings,,,Mike Arnold(Group Managing Director & Chief Executive),2014,,,,,1,1,,,,,,,,Yes,
Saferight,,,Mack McCormack(Managing Director),1990,,,,,,,,,,,,,,Yes,
